emotion,intensity,statement,repetition,actor,actor_name,file_name
calm,normal,02,02,male,actor_16,data/Actor_16/03-01-02-01-02-02-16.wav
neutral,normal,02,01,male,actor_16,data/Actor_16/03-01-01-01-02-01-16.wav
calm,strong,01,02,male,actor_16,data/Actor_16/03-01-02-02-01-02-16.wav
happy,normal,01,01,male,actor_16,data/Actor_16/03-01-03-01-01-01-16.wav
happy,strong,02,01,male,actor_16,data/Actor_16/03-01-03-02-02-01-16.wav
disgust,strong,02,02,male,actor_16,data/Actor_16/03-01-07-02-02-02-16.wav
sad,strong,02,01,male,actor_16,data/Actor_16/03-01-04-02-02-01-16.wav
sad,normal,01,01,male,actor_16,data/Actor_16/03-01-04-01-01-01-16.wav
disgust,normal,01,02,male,actor_16,data/Actor_16/03-01-07-01-01-02-16.wav
angry,strong,01,02,male,actor_16,data/Actor_16/03-01-05-02-01-02-16.wav
fearful,strong,01,01,male,actor_16,data/Actor_16/03-01-06-02-01-01-16.wav
fearful,normal,02,01,male,actor_16,data/Actor_16/03-01-06-01-02-01-16.wav
angry,normal,02,02,male,actor_16,data/Actor_16/03-01-05-01-02-02-16.wav
surprised,normal,01,02,male,actor_16,data/Actor_16/03-01-08-01-01-02-16.wav
surprised,strong,02,02,male,actor_16,data/Actor_16/03-01-08-02-02-02-16.wav
sad,strong,01,02,male,actor_16,data/Actor_16/03-01-04-02-01-02-16.wav
disgust,strong,01,01,male,actor_16,data/Actor_16/03-01-07-02-01-01-16.wav
disgust,normal,02,01,male,actor_16,data/Actor_16/03-01-07-01-02-01-16.wav
sad,normal,02,02,male,actor_16,data/Actor_16/03-01-04-01-02-02-16.wav
fearful,strong,02,02,male,actor_16,data/Actor_16/03-01-06-02-02-02-16.wav
angry,strong,02,01,male,actor_16,data/Actor_16/03-01-05-02-02-01-16.wav
angry,normal,01,01,male,actor_16,data/Actor_16/03-01-05-01-01-01-16.wav
fearful,normal,01,02,male,actor_16,data/Actor_16/03-01-06-01-01-02-16.wav
surprised,normal,02,01,male,actor_16,data/Actor_16/03-01-08-01-02-01-16.wav
surprised,strong,01,01,male,actor_16,data/Actor_16/03-01-08-02-01-01-16.wav
neutral,normal,01,02,male,actor_16,data/Actor_16/03-01-01-01-01-02-16.wav
calm,normal,01,01,male,actor_16,data/Actor_16/03-01-02-01-01-01-16.wav
calm,strong,02,01,male,actor_16,data/Actor_16/03-01-02-02-02-01-16.wav
happy,normal,02,02,male,actor_16,data/Actor_16/03-01-03-01-02-02-16.wav
happy,strong,01,02,male,actor_16,data/Actor_16/03-01-03-02-01-02-16.wav
neutral,normal,02,02,female,actor_11,data/Actor_11/03-01-01-01-02-02-11.wav
calm,normal,02,01,female,actor_11,data/Actor_11/03-01-02-01-02-01-11.wav
calm,strong,01,01,female,actor_11,data/Actor_11/03-01-02-02-01-01-11.wav
happy,normal,01,02,female,actor_11,data/Actor_11/03-01-03-01-01-02-11.wav
happy,strong,02,02,female,actor_11,data/Actor_11/03-01-03-02-02-02-11.wav
sad,strong,02,02,female,actor_11,data/Actor_11/03-01-04-02-02-02-11.wav
disgust,strong,02,01,female,actor_11,data/Actor_11/03-01-07-02-02-01-11.wav
disgust,normal,01,01,female,actor_11,data/Actor_11/03-01-07-01-01-01-11.wav
sad,normal,01,02,female,actor_11,data/Actor_11/03-01-04-01-01-02-11.wav
fearful,strong,01,02,female,actor_11,data/Actor_11/03-01-06-02-01-02-11.wav
angry,strong,01,01,female,actor_11,data/Actor_11/03-01-05-02-01-01-11.wav
angry,normal,02,01,female,actor_11,data/Actor_11/03-01-05-01-02-01-11.wav
fearful,normal,02,02,female,actor_11,data/Actor_11/03-01-06-01-02-02-11.wav
surprised,normal,01,01,female,actor_11,data/Actor_11/03-01-08-01-01-01-11.wav
surprised,strong,02,01,female,actor_11,data/Actor_11/03-01-08-02-02-01-11.wav
disgust,strong,01,02,female,actor_11,data/Actor_11/03-01-07-02-01-02-11.wav
sad,strong,01,01,female,actor_11,data/Actor_11/03-01-04-02-01-01-11.wav
sad,normal,02,01,female,actor_11,data/Actor_11/03-01-04-01-02-01-11.wav
disgust,normal,02,02,female,actor_11,data/Actor_11/03-01-07-01-02-02-11.wav
angry,strong,02,02,female,actor_11,data/Actor_11/03-01-05-02-02-02-11.wav
fearful,strong,02,01,female,actor_11,data/Actor_11/03-01-06-02-02-01-11.wav
fearful,normal,01,01,female,actor_11,data/Actor_11/03-01-06-01-01-01-11.wav
angry,normal,01,02,female,actor_11,data/Actor_11/03-01-05-01-01-02-11.wav
surprised,normal,02,02,female,actor_11,data/Actor_11/03-01-08-01-02-02-11.wav
surprised,strong,01,02,female,actor_11,data/Actor_11/03-01-08-02-01-02-11.wav
calm,normal,01,02,female,actor_11,data/Actor_11/03-01-02-01-01-02-11.wav
neutral,normal,01,01,female,actor_11,data/Actor_11/03-01-01-01-01-01-11.wav
calm,strong,02,02,female,actor_11,data/Actor_11/03-01-02-02-02-02-11.wav
happy,normal,02,01,female,actor_11,data/Actor_11/03-01-03-01-02-01-11.wav
happy,strong,01,01,female,actor_11,data/Actor_11/03-01-03-02-01-01-11.wav
fearful,normal,02,01,female,actor_11,data/Actor_11/03-01-06-01-02-01-11.wav
angry,normal,02,02,female,actor_11,data/Actor_11/03-01-05-01-02-02-11.wav
angry,strong,01,02,female,actor_11,data/Actor_11/03-01-05-02-01-02-11.wav
fearful,strong,01,01,female,actor_11,data/Actor_11/03-01-06-02-01-01-11.wav
sad,normal,01,01,female,actor_11,data/Actor_11/03-01-04-01-01-01-11.wav
disgust,normal,01,02,female,actor_11,data/Actor_11/03-01-07-01-01-02-11.wav
disgust,strong,02,02,female,actor_11,data/Actor_11/03-01-07-02-02-02-11.wav
sad,strong,02,01,female,actor_11,data/Actor_11/03-01-04-02-02-01-11.wav
surprised,strong,02,02,female,actor_11,data/Actor_11/03-01-08-02-02-02-11.wav
surprised,normal,01,02,female,actor_11,data/Actor_11/03-01-08-01-01-02-11.wav
happy,strong,02,01,female,actor_11,data/Actor_11/03-01-03-02-02-01-11.wav
happy,normal,01,01,female,actor_11,data/Actor_11/03-01-03-01-01-01-11.wav
calm,strong,01,02,female,actor_11,data/Actor_11/03-01-02-02-01-02-11.wav
calm,normal,02,02,female,actor_11,data/Actor_11/03-01-02-01-02-02-11.wav
neutral,normal,02,01,female,actor_11,data/Actor_11/03-01-01-01-02-01-11.wav
happy,strong,01,02,female,actor_11,data/Actor_11/03-01-03-02-01-02-11.wav
happy,normal,02,02,female,actor_11,data/Actor_11/03-01-03-01-02-02-11.wav
calm,strong,02,01,female,actor_11,data/Actor_11/03-01-02-02-02-01-11.wav
neutral,normal,01,02,female,actor_11,data/Actor_11/03-01-01-01-01-02-11.wav
calm,normal,01,01,female,actor_11,data/Actor_11/03-01-02-01-01-01-11.wav
angry,normal,01,01,female,actor_11,data/Actor_11/03-01-05-01-01-01-11.wav
fearful,normal,01,02,female,actor_11,data/Actor_11/03-01-06-01-01-02-11.wav
fearful,strong,02,02,female,actor_11,data/Actor_11/03-01-06-02-02-02-11.wav
angry,strong,02,01,female,actor_11,data/Actor_11/03-01-05-02-02-01-11.wav
disgust,normal,02,01,female,actor_11,data/Actor_11/03-01-07-01-02-01-11.wav
sad,normal,02,02,female,actor_11,data/Actor_11/03-01-04-01-02-02-11.wav
sad,strong,01,02,female,actor_11,data/Actor_11/03-01-04-02-01-02-11.wav
disgust,strong,01,01,female,actor_11,data/Actor_11/03-01-07-02-01-01-11.wav
surprised,strong,01,01,female,actor_11,data/Actor_11/03-01-08-02-01-01-11.wav
surprised,normal,02,01,female,actor_11,data/Actor_11/03-01-08-01-02-01-11.wav
happy,strong,01,02,male,actor_18,data/Actor_18/03-01-03-02-01-02-18.wav
happy,normal,02,02,male,actor_18,data/Actor_18/03-01-03-01-02-02-18.wav
calm,strong,02,01,male,actor_18,data/Actor_18/03-01-02-02-02-01-18.wav
calm,normal,01,01,male,actor_18,data/Actor_18/03-01-02-01-01-01-18.wav
neutral,normal,01,02,male,actor_18,data/Actor_18/03-01-01-01-01-02-18.wav
fearful,normal,01,02,male,actor_18,data/Actor_18/03-01-06-01-01-02-18.wav
angry,normal,01,01,male,actor_18,data/Actor_18/03-01-05-01-01-01-18.wav
angry,strong,02,01,male,actor_18,data/Actor_18/03-01-05-02-02-01-18.wav
fearful,strong,02,02,male,actor_18,data/Actor_18/03-01-06-02-02-02-18.wav
sad,normal,02,02,male,actor_18,data/Actor_18/03-01-04-01-02-02-18.wav
disgust,normal,02,01,male,actor_18,data/Actor_18/03-01-07-01-02-01-18.wav
disgust,strong,01,01,male,actor_18,data/Actor_18/03-01-07-02-01-01-18.wav
sad,strong,01,02,male,actor_18,data/Actor_18/03-01-04-02-01-02-18.wav
surprised,strong,01,01,male,actor_18,data/Actor_18/03-01-08-02-01-01-18.wav
surprised,normal,02,01,male,actor_18,data/Actor_18/03-01-08-01-02-01-18.wav
angry,normal,02,02,male,actor_18,data/Actor_18/03-01-05-01-02-02-18.wav
fearful,normal,02,01,male,actor_18,data/Actor_18/03-01-06-01-02-01-18.wav
fearful,strong,01,01,male,actor_18,data/Actor_18/03-01-06-02-01-01-18.wav
angry,strong,01,02,male,actor_18,data/Actor_18/03-01-05-02-01-02-18.wav
disgust,normal,01,02,male,actor_18,data/Actor_18/03-01-07-01-01-02-18.wav
sad,normal,01,01,male,actor_18,data/Actor_18/03-01-04-01-01-01-18.wav
sad,strong,02,01,male,actor_18,data/Actor_18/03-01-04-02-02-01-18.wav
disgust,strong,02,02,male,actor_18,data/Actor_18/03-01-07-02-02-02-18.wav
surprised,strong,02,02,male,actor_18,data/Actor_18/03-01-08-02-02-02-18.wav
surprised,normal,01,02,male,actor_18,data/Actor_18/03-01-08-01-01-02-18.wav
happy,strong,02,01,male,actor_18,data/Actor_18/03-01-03-02-02-01-18.wav
happy,normal,01,01,male,actor_18,data/Actor_18/03-01-03-01-01-01-18.wav
calm,strong,01,02,male,actor_18,data/Actor_18/03-01-02-02-01-02-18.wav
neutral,normal,02,01,male,actor_18,data/Actor_18/03-01-01-01-02-01-18.wav
calm,normal,02,02,male,actor_18,data/Actor_18/03-01-02-01-02-02-18.wav
sad,strong,01,01,male,actor_18,data/Actor_18/03-01-04-02-01-01-18.wav
disgust,strong,01,02,male,actor_18,data/Actor_18/03-01-07-02-01-02-18.wav
disgust,normal,02,02,male,actor_18,data/Actor_18/03-01-07-01-02-02-18.wav
sad,normal,02,01,male,actor_18,data/Actor_18/03-01-04-01-02-01-18.wav
fearful,strong,02,01,male,actor_18,data/Actor_18/03-01-06-02-02-01-18.wav
angry,strong,02,02,male,actor_18,data/Actor_18/03-01-05-02-02-02-18.wav
angry,normal,01,02,male,actor_18,data/Actor_18/03-01-05-01-01-02-18.wav
fearful,normal,01,01,male,actor_18,data/Actor_18/03-01-06-01-01-01-18.wav
surprised,normal,02,02,male,actor_18,data/Actor_18/03-01-08-01-02-02-18.wav
surprised,strong,01,02,male,actor_18,data/Actor_18/03-01-08-02-01-02-18.wav
neutral,normal,01,01,male,actor_18,data/Actor_18/03-01-01-01-01-01-18.wav
calm,normal,01,02,male,actor_18,data/Actor_18/03-01-02-01-01-02-18.wav
calm,strong,02,02,male,actor_18,data/Actor_18/03-01-02-02-02-02-18.wav
happy,normal,02,01,male,actor_18,data/Actor_18/03-01-03-01-02-01-18.wav
happy,strong,01,01,male,actor_18,data/Actor_18/03-01-03-02-01-01-18.wav
calm,normal,02,01,male,actor_18,data/Actor_18/03-01-02-01-02-01-18.wav
neutral,normal,02,02,male,actor_18,data/Actor_18/03-01-01-01-02-02-18.wav
calm,strong,01,01,male,actor_18,data/Actor_18/03-01-02-02-01-01-18.wav
happy,normal,01,02,male,actor_18,data/Actor_18/03-01-03-01-01-02-18.wav
happy,strong,02,02,male,actor_18,data/Actor_18/03-01-03-02-02-02-18.wav
disgust,strong,02,01,male,actor_18,data/Actor_18/03-01-07-02-02-01-18.wav
sad,strong,02,02,male,actor_18,data/Actor_18/03-01-04-02-02-02-18.wav
sad,normal,01,02,male,actor_18,data/Actor_18/03-01-04-01-01-02-18.wav
disgust,normal,01,01,male,actor_18,data/Actor_18/03-01-07-01-01-01-18.wav
angry,strong,01,01,male,actor_18,data/Actor_18/03-01-05-02-01-01-18.wav
fearful,strong,01,02,male,actor_18,data/Actor_18/03-01-06-02-01-02-18.wav
fearful,normal,02,02,male,actor_18,data/Actor_18/03-01-06-01-02-02-18.wav
angry,normal,02,01,male,actor_18,data/Actor_18/03-01-05-01-02-01-18.wav
surprised,normal,01,01,male,actor_18,data/Actor_18/03-01-08-01-01-01-18.wav
surprised,strong,02,01,male,actor_18,data/Actor_18/03-01-08-02-02-01-18.wav
surprised,normal,02,01,male,actor_20,data/Actor_20/03-01-08-01-02-01-20.wav
surprised,strong,01,01,male,actor_20,data/Actor_20/03-01-08-02-01-01-20.wav
sad,strong,01,02,male,actor_20,data/Actor_20/03-01-04-02-01-02-20.wav
disgust,strong,01,01,male,actor_20,data/Actor_20/03-01-07-02-01-01-20.wav
disgust,normal,02,01,male,actor_20,data/Actor_20/03-01-07-01-02-01-20.wav
sad,normal,02,02,male,actor_20,data/Actor_20/03-01-04-01-02-02-20.wav
fearful,strong,02,02,male,actor_20,data/Actor_20/03-01-06-02-02-02-20.wav
angry,strong,02,01,male,actor_20,data/Actor_20/03-01-05-02-02-01-20.wav
angry,normal,01,01,male,actor_20,data/Actor_20/03-01-05-01-01-01-20.wav
fearful,normal,01,02,male,actor_20,data/Actor_20/03-01-06-01-01-02-20.wav
neutral,normal,01,02,male,actor_20,data/Actor_20/03-01-01-01-01-02-20.wav
calm,normal,01,01,male,actor_20,data/Actor_20/03-01-02-01-01-01-20.wav
calm,strong,02,01,male,actor_20,data/Actor_20/03-01-02-02-02-01-20.wav
happy,normal,02,02,male,actor_20,data/Actor_20/03-01-03-01-02-02-20.wav
happy,strong,01,02,male,actor_20,data/Actor_20/03-01-03-02-01-02-20.wav
calm,normal,02,02,male,actor_20,data/Actor_20/03-01-02-01-02-02-20.wav
neutral,normal,02,01,male,actor_20,data/Actor_20/03-01-01-01-02-01-20.wav
calm,strong,01,02,male,actor_20,data/Actor_20/03-01-02-02-01-02-20.wav
happy,normal,01,01,male,actor_20,data/Actor_20/03-01-03-01-01-01-20.wav
happy,strong,02,01,male,actor_20,data/Actor_20/03-01-03-02-02-01-20.wav
surprised,normal,01,02,male,actor_20,data/Actor_20/03-01-08-01-01-02-20.wav
surprised,strong,02,02,male,actor_20,data/Actor_20/03-01-08-02-02-02-20.wav
disgust,strong,02,02,male,actor_20,data/Actor_20/03-01-07-02-02-02-20.wav
sad,strong,02,01,male,actor_20,data/Actor_20/03-01-04-02-02-01-20.wav
sad,normal,01,01,male,actor_20,data/Actor_20/03-01-04-01-01-01-20.wav
disgust,normal,01,02,male,actor_20,data/Actor_20/03-01-07-01-01-02-20.wav
angry,strong,01,02,male,actor_20,data/Actor_20/03-01-05-02-01-02-20.wav
fearful,strong,01,01,male,actor_20,data/Actor_20/03-01-06-02-01-01-20.wav
fearful,normal,02,01,male,actor_20,data/Actor_20/03-01-06-01-02-01-20.wav
angry,normal,02,02,male,actor_20,data/Actor_20/03-01-05-01-02-02-20.wav
happy,strong,01,01,male,actor_20,data/Actor_20/03-01-03-02-01-01-20.wav
happy,normal,02,01,male,actor_20,data/Actor_20/03-01-03-01-02-01-20.wav
calm,strong,02,02,male,actor_20,data/Actor_20/03-01-02-02-02-02-20.wav
calm,normal,01,02,male,actor_20,data/Actor_20/03-01-02-01-01-02-20.wav
neutral,normal,01,01,male,actor_20,data/Actor_20/03-01-01-01-01-01-20.wav
surprised,strong,01,02,male,actor_20,data/Actor_20/03-01-08-02-01-02-20.wav
surprised,normal,02,02,male,actor_20,data/Actor_20/03-01-08-01-02-02-20.wav
fearful,normal,01,01,male,actor_20,data/Actor_20/03-01-06-01-01-01-20.wav
angry,normal,01,02,male,actor_20,data/Actor_20/03-01-05-01-01-02-20.wav
angry,strong,02,02,male,actor_20,data/Actor_20/03-01-05-02-02-02-20.wav
fearful,strong,02,01,male,actor_20,data/Actor_20/03-01-06-02-02-01-20.wav
sad,normal,02,01,male,actor_20,data/Actor_20/03-01-04-01-02-01-20.wav
disgust,normal,02,02,male,actor_20,data/Actor_20/03-01-07-01-02-02-20.wav
disgust,strong,01,02,male,actor_20,data/Actor_20/03-01-07-02-01-02-20.wav
sad,strong,01,01,male,actor_20,data/Actor_20/03-01-04-02-01-01-20.wav
surprised,strong,02,01,male,actor_20,data/Actor_20/03-01-08-02-02-01-20.wav
surprised,normal,01,01,male,actor_20,data/Actor_20/03-01-08-01-01-01-20.wav
angry,normal,02,01,male,actor_20,data/Actor_20/03-01-05-01-02-01-20.wav
fearful,normal,02,02,male,actor_20,data/Actor_20/03-01-06-01-02-02-20.wav
fearful,strong,01,02,male,actor_20,data/Actor_20/03-01-06-02-01-02-20.wav
angry,strong,01,01,male,actor_20,data/Actor_20/03-01-05-02-01-01-20.wav
disgust,normal,01,01,male,actor_20,data/Actor_20/03-01-07-01-01-01-20.wav
sad,normal,01,02,male,actor_20,data/Actor_20/03-01-04-01-01-02-20.wav
sad,strong,02,02,male,actor_20,data/Actor_20/03-01-04-02-02-02-20.wav
disgust,strong,02,01,male,actor_20,data/Actor_20/03-01-07-02-02-01-20.wav
happy,strong,02,02,male,actor_20,data/Actor_20/03-01-03-02-02-02-20.wav
happy,normal,01,02,male,actor_20,data/Actor_20/03-01-03-01-01-02-20.wav
calm,strong,01,01,male,actor_20,data/Actor_20/03-01-02-02-01-01-20.wav
neutral,normal,02,02,male,actor_20,data/Actor_20/03-01-01-01-02-02-20.wav
calm,normal,02,01,male,actor_20,data/Actor_20/03-01-02-01-02-01-20.wav
surprised,strong,01,01,female,actor_21,data/Actor_21/03-01-08-02-01-01-21.wav
surprised,normal,02,01,female,actor_21,data/Actor_21/03-01-08-01-02-01-21.wav
fearful,normal,01,02,female,actor_21,data/Actor_21/03-01-06-01-01-02-21.wav
angry,normal,01,01,female,actor_21,data/Actor_21/03-01-05-01-01-01-21.wav
angry,strong,02,01,female,actor_21,data/Actor_21/03-01-05-02-02-01-21.wav
fearful,strong,02,02,female,actor_21,data/Actor_21/03-01-06-02-02-02-21.wav
sad,normal,02,02,female,actor_21,data/Actor_21/03-01-04-01-02-02-21.wav
disgust,normal,02,01,female,actor_21,data/Actor_21/03-01-07-01-02-01-21.wav
disgust,strong,01,01,female,actor_21,data/Actor_21/03-01-07-02-01-01-21.wav
sad,strong,01,02,female,actor_21,data/Actor_21/03-01-04-02-01-02-21.wav
happy,strong,01,02,female,actor_21,data/Actor_21/03-01-03-02-01-02-21.wav
happy,normal,02,02,female,actor_21,data/Actor_21/03-01-03-01-02-02-21.wav
calm,strong,02,01,female,actor_21,data/Actor_21/03-01-02-02-02-01-21.wav
calm,normal,01,01,female,actor_21,data/Actor_21/03-01-02-01-01-01-21.wav
neutral,normal,01,02,female,actor_21,data/Actor_21/03-01-01-01-01-02-21.wav
happy,strong,02,01,female,actor_21,data/Actor_21/03-01-03-02-02-01-21.wav
happy,normal,01,01,female,actor_21,data/Actor_21/03-01-03-01-01-01-21.wav
calm,strong,01,02,female,actor_21,data/Actor_21/03-01-02-02-01-02-21.wav
neutral,normal,02,01,female,actor_21,data/Actor_21/03-01-01-01-02-01-21.wav
calm,normal,02,02,female,actor_21,data/Actor_21/03-01-02-01-02-02-21.wav
surprised,strong,02,02,female,actor_21,data/Actor_21/03-01-08-02-02-02-21.wav
surprised,normal,01,02,female,actor_21,data/Actor_21/03-01-08-01-01-02-21.wav
angry,normal,02,02,female,actor_21,data/Actor_21/03-01-05-01-02-02-21.wav
fearful,normal,02,01,female,actor_21,data/Actor_21/03-01-06-01-02-01-21.wav
fearful,strong,01,01,female,actor_21,data/Actor_21/03-01-06-02-01-01-21.wav
angry,strong,01,02,female,actor_21,data/Actor_21/03-01-05-02-01-02-21.wav
disgust,normal,01,02,female,actor_21,data/Actor_21/03-01-07-01-01-02-21.wav
sad,normal,01,01,female,actor_21,data/Actor_21/03-01-04-01-01-01-21.wav
sad,strong,02,01,female,actor_21,data/Actor_21/03-01-04-02-02-01-21.wav
disgust,strong,02,02,female,actor_21,data/Actor_21/03-01-07-02-02-02-21.wav
neutral,normal,01,01,female,actor_21,data/Actor_21/03-01-01-01-01-01-21.wav
calm,normal,01,02,female,actor_21,data/Actor_21/03-01-02-01-01-02-21.wav
calm,strong,02,02,female,actor_21,data/Actor_21/03-01-02-02-02-02-21.wav
happy,normal,02,01,female,actor_21,data/Actor_21/03-01-03-01-02-01-21.wav
happy,strong,01,01,female,actor_21,data/Actor_21/03-01-03-02-01-01-21.wav
surprised,normal,02,02,female,actor_21,data/Actor_21/03-01-08-01-02-02-21.wav
surprised,strong,01,02,female,actor_21,data/Actor_21/03-01-08-02-01-02-21.wav
sad,strong,01,01,female,actor_21,data/Actor_21/03-01-04-02-01-01-21.wav
disgust,strong,01,02,female,actor_21,data/Actor_21/03-01-07-02-01-02-21.wav
disgust,normal,02,02,female,actor_21,data/Actor_21/03-01-07-01-02-02-21.wav
sad,normal,02,01,female,actor_21,data/Actor_21/03-01-04-01-02-01-21.wav
fearful,strong,02,01,female,actor_21,data/Actor_21/03-01-06-02-02-01-21.wav
angry,strong,02,02,female,actor_21,data/Actor_21/03-01-05-02-02-02-21.wav
angry,normal,01,02,female,actor_21,data/Actor_21/03-01-05-01-01-02-21.wav
fearful,normal,01,01,female,actor_21,data/Actor_21/03-01-06-01-01-01-21.wav
surprised,normal,01,01,female,actor_21,data/Actor_21/03-01-08-01-01-01-21.wav
surprised,strong,02,01,female,actor_21,data/Actor_21/03-01-08-02-02-01-21.wav
disgust,strong,02,01,female,actor_21,data/Actor_21/03-01-07-02-02-01-21.wav
sad,strong,02,02,female,actor_21,data/Actor_21/03-01-04-02-02-02-21.wav
sad,normal,01,02,female,actor_21,data/Actor_21/03-01-04-01-01-02-21.wav
disgust,normal,01,01,female,actor_21,data/Actor_21/03-01-07-01-01-01-21.wav
angry,strong,01,01,female,actor_21,data/Actor_21/03-01-05-02-01-01-21.wav
fearful,strong,01,02,female,actor_21,data/Actor_21/03-01-06-02-01-02-21.wav
fearful,normal,02,02,female,actor_21,data/Actor_21/03-01-06-01-02-02-21.wav
angry,normal,02,01,female,actor_21,data/Actor_21/03-01-05-01-02-01-21.wav
calm,normal,02,01,female,actor_21,data/Actor_21/03-01-02-01-02-01-21.wav
neutral,normal,02,02,female,actor_21,data/Actor_21/03-01-01-01-02-02-21.wav
calm,strong,01,01,female,actor_21,data/Actor_21/03-01-02-02-01-01-21.wav
happy,normal,01,02,female,actor_21,data/Actor_21/03-01-03-01-01-02-21.wav
happy,strong,02,02,female,actor_21,data/Actor_21/03-01-03-02-02-02-21.wav
neutral,normal,01,02,female,actor_19,data/Actor_19/03-01-01-01-01-02-19.wav
calm,normal,01,01,female,actor_19,data/Actor_19/03-01-02-01-01-01-19.wav
calm,strong,02,01,female,actor_19,data/Actor_19/03-01-02-02-02-01-19.wav
happy,normal,02,02,female,actor_19,data/Actor_19/03-01-03-01-02-02-19.wav
happy,strong,01,02,female,actor_19,data/Actor_19/03-01-03-02-01-02-19.wav
sad,strong,01,02,female,actor_19,data/Actor_19/03-01-04-02-01-02-19.wav
disgust,strong,01,01,female,actor_19,data/Actor_19/03-01-07-02-01-01-19.wav
disgust,normal,02,01,female,actor_19,data/Actor_19/03-01-07-01-02-01-19.wav
sad,normal,02,02,female,actor_19,data/Actor_19/03-01-04-01-02-02-19.wav
fearful,strong,02,02,female,actor_19,data/Actor_19/03-01-06-02-02-02-19.wav
angry,strong,02,01,female,actor_19,data/Actor_19/03-01-05-02-02-01-19.wav
angry,normal,01,01,female,actor_19,data/Actor_19/03-01-05-01-01-01-19.wav
fearful,normal,01,02,female,actor_19,data/Actor_19/03-01-06-01-01-02-19.wav
surprised,normal,02,01,female,actor_19,data/Actor_19/03-01-08-01-02-01-19.wav
surprised,strong,01,01,female,actor_19,data/Actor_19/03-01-08-02-01-01-19.wav
disgust,strong,02,02,female,actor_19,data/Actor_19/03-01-07-02-02-02-19.wav
sad,strong,02,01,female,actor_19,data/Actor_19/03-01-04-02-02-01-19.wav
sad,normal,01,01,female,actor_19,data/Actor_19/03-01-04-01-01-01-19.wav
disgust,normal,01,02,female,actor_19,data/Actor_19/03-01-07-01-01-02-19.wav
angry,strong,01,02,female,actor_19,data/Actor_19/03-01-05-02-01-02-19.wav
fearful,strong,01,01,female,actor_19,data/Actor_19/03-01-06-02-01-01-19.wav
fearful,normal,02,01,female,actor_19,data/Actor_19/03-01-06-01-02-01-19.wav
angry,normal,02,02,female,actor_19,data/Actor_19/03-01-05-01-02-02-19.wav
surprised,normal,01,02,female,actor_19,data/Actor_19/03-01-08-01-01-02-19.wav
surprised,strong,02,02,female,actor_19,data/Actor_19/03-01-08-02-02-02-19.wav
calm,normal,02,02,female,actor_19,data/Actor_19/03-01-02-01-02-02-19.wav
neutral,normal,02,01,female,actor_19,data/Actor_19/03-01-01-01-02-01-19.wav
calm,strong,01,02,female,actor_19,data/Actor_19/03-01-02-02-01-02-19.wav
